Instansi;Pria;Wanita;Total
Setda Provinsi Sumatera Selatan;185;149;334
Sekretariat DPRD Provinsi Sumatera Selatan;55;34;89
Inspektorat Provinsi Sumatera Selatan;50;46;96
Satuan Polisi Pamong Praja;129;9;138
RS.Dr. Ernaldi Bahar;69;216;285
Dinas Pendidikan Provinsi Sumatera Selatan;2728;5047;7775
Dinas Kesehatan Provinsi Sumatera Selatan;189;621;810
Dinas Pengelolaan Sumber Daya Air Provinsi Sumatera Selatan;53;34;87
Dinas PU Bina Marga dan Tata Ruang Provinsi Sumatera Selatan;140;84;224
Dinas Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan;63;38;101
Dinas Pemuda dan Olahraga Provinsi Sumatera Selatan;43;22;65
Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sumatera Selatan;25;21;46
Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Selatan;93;43;136
Dinas Perhubungan Provinsi Sumatera Selatan;94;38;132
Dinas Sosial Provinsi Sumatera Selatan;46;36;82
Dinas Kebudayaan dan Pariwisata Provinsi Sumatera Selatan;41;47;88
Dinas Kelautan dan Perikanan Provinsi Sumatera Selatan;56;35;91
Dinas Pertanian Tanaman Pangan dan Hortikultura Provinsi Sumatera Selatan;122;113;235
Dinas Lingkungan Hidup dan Pertanahan Provinsi Sumatera Selatan;35;30;65
Dinas Perkebunan Provinsi Sumatera Selatan;31;25;56
Dinas Kehutanan Provinsi Sumatera Selatan;196;77;273
Dinas Energi dan Sumber Daya Mineral Provinsi Sumatera Selatan;63;34;97
Dinas Perdagangan Provinsi Sumatera Selatan;22;20;42
Dinas Perindustrian Provinsi Sumatera Selatan;16;21;37
Dinas Kependudukan dan Pencatatan Sipil Provinsi Sumatera Selatan;16;15;31
Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sumatera Selatan;16;19;35
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;30;34;64
Dinas Perpustakaan Provinsi Sumatera Selatan;28;32;60
Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sumatera Selatan;14;15;29
Dinas Komunikasi dan Informatika Provinsi Sumatera Selatan;26;23;49
Dinas Ketahanan Pangan dan Peternakan Provinsi Sumatera Selatan;44;62;106
Dinas Kearsipan Provinsi Sumatera Selatan;15;25;40
Badan Perencanaan Pembangunan Daerah Provinsi Sumatera Selatan;47;53;100
Badan Kesatuan Bangsa dan Perlindungan Masyarakat Provinsi Sumatera Selatan;24;10;34
Dinas Penelitian, Pengembangan Daerah Provinsi Sumatera Selatan;23;32;55
Badan Pengembangan SDM Daerah Provinsi Sumatera Selatan;37;39;76
Badan Kepegawaian Daerah Provinsi Sumatera Selatan;31;37;68
Badan Pelaksana Penanggulangan Bencana Daerah;22;37;59
Badan Pengelola Keuangan dan Aset Daerah;41;44;85
Badan Penghubung Provinsi Sumatera Selatan;20;16;36
Badan Pendapatan Daerah Provinsi Sumatera Selatan;239;179;418
